,seed threshold,data treshold,radius,error rate,Accuracy,Recall,precision,f1_score,Total true positives,Total false positives,Total false negatives,Total Groundtruth
0,10,10,3,0.73,0.46,0.86,0.5,0.63,1506,1512,237,1743
1,10,12,3,0.51,0.52,0.86,0.57,0.69,1506,1126,237,1743
2,10,14,3,0.35,0.58,0.87,0.64,0.74,1508,853,235,1743
3,10,16,3,0.22,0.6,0.84,0.68,0.75,1460,672,283,1743
4,12,10,3,0.65,0.49,0.87,0.53,0.66,1510,1363,233,1743
5,12,12,3,0.52,0.53,0.87,0.57,0.69,1513,1136,230,1743
6,12,14,3,0.35,0.58,0.86,0.64,0.73,1500,861,243,1743
7,12,16,3,0.23,0.6,0.84,0.68,0.75,1461,689,282,1743
8,14,10,3,0.52,0.52,0.86,0.57,0.69,1506,1147,237,1743
9,14,12,3,0.45,0.54,0.86,0.59,0.7,1495,1038,248,1743
10,14,14,3,0.35,0.57,0.86,0.63,0.73,1497,863,246,1743
11,14,16,3,0.23,0.6,0.84,0.68,0.75,1460,690,283,1743
12,16,10,3,0.42,0.55,0.85,0.6,0.7,1488,979,255,1743
13,16,12,3,0.37,0.56,0.86,0.62,0.72,1491,897,252,1743
14,16,14,3,0.32,0.58,0.85,0.65,0.74,1488,817,255,1743
15,16,16,3,0.22,0.6,0.83,0.68,0.75,1447,680,296,1743
16,10,10,4,0.74,0.42,0.81,0.47,0.59,1414,1625,329,1743
17,10,12,4,0.53,0.48,0.82,0.53,0.64,1425,1239,318,1743
18,10,14,4,0.38,0.53,0.82,0.6,0.69,1435,967,308,1743
19,10,16,4,0.24,0.56,0.8,0.65,0.72,1397,756,346,1743
20,12,10,4,0.64,0.45,0.82,0.5,0.62,1424,1430,319,1743
21,12,12,4,0.51,0.48,0.81,0.54,0.65,1412,1226,331,1743
22,12,14,4,0.38,0.53,0.82,0.59,0.69,1431,981,312,1743
23,12,16,4,0.24,0.56,0.8,0.65,0.72,1401,762,342,1743
24,14,10,4,0.54,0.48,0.82,0.53,0.64,1424,1252,319,1743
25,14,12,4,0.46,0.49,0.81,0.56,0.66,1419,1127,324,1743
26,14,14,4,0.37,0.53,0.82,0.6,0.69,1433,947,310,1743
27,14,16,4,0.23,0.56,0.8,0.65,0.72,1391,759,352,1743
28,16,10,4,0.41,0.5,0.8,0.57,0.67,1398,1061,345,1743
29,16,12,4,0.38,0.51,0.8,0.58,0.67,1400,998,343,1743
30,16,14,4,0.31,0.54,0.81,0.61,0.7,1407,881,336,1743
31,16,16,4,0.24,0.56,0.8,0.65,0.72,1395,763,348,1743
